idx,Var1,x____,x__,x_____1,x___1,x_____2,x___2,x___3,x_____3,x___4
1,79,1160,0,1187,0.046922579,6227096.5,6391.326172,0.949999988,2.55400496721304,0.00220172842001124
1,80,1160,0,1187,0.046942644,6225814,6586.563965,0.949999988,2.55618971782445,0.00220361182571074
1,81,1160,0,1187,0.046962705,6224531.5,6781.80127,0.949999988,2.55837496666375,0.00220549566091703
1,82,1160,0,1187,0.046982769,6223249,6977.039063,0.949999988,2.56056147617254,0.00220738058290736
1,83,1160,0,1187,0.047002833,6221967,7172.276855,0.949999988,2.56274891963003,0.00220926631002589
1,84,1160,0,1187,0.046975579,6224573,7158.718262,0.949999988,2.55977782596688,0.00220670502238524
1,85,1160,0,1187,0.046948321,6227179,7145.160645,0.949999988,2.55680801987409,0.00220414484471904
1,86,1160,0,1187,0.046921067,6229785.5,7131.602051,0.949999988,2.55384037296545,0.00220158652841849
1,87,1160,0,1187,0.046893805,6232391.5,7118.044434,0.949999988,2.55087357895851,0.00219902894737802
1,88,1160,0,1187,0.046866551,6234998,7104.48584,0.949999988,2.5479093790573,0.0021964736026356
1,89,1160,0,1187,0.0468904,6291301,7028.560059,0.949999988,2.5505031501056,0.00219870961216
1,90,1160,0,1187,0.04691425,6347603.5,6952.634277,0.949999988,2.5530983495525,0.0022009468530625
1,91,1160,0,1187,0.046938099,6403906,6876.708496,0.949999988,2.55569475977121,0.0022031851377338
1,92,1160,0,1187,0.046961948,6460208.5,6800.782715,0.949999988,2.55829248954746,0.0022054245599547
1,93,1160,0,1187,0.046985794,6516511,6724.856934,0.949999988,2.56089121186011,0.00220766483781044
1,94,1160.199951,0,1187,0.046938226,6489001,6852.303711,0.949999988,2.55614912108676,0.00220319706002708
1,95,1160.400024,0,1187,0.046890654,6461490.5,6979.750488,0.949999988,2.55141032789797,0.00219873343254772
1,96,1160.599976,0,1187,0.046843085,6433981,7107.197754,0.949999988,2.54667506239278,0.00219427461231723
1,97,1160.800049,0,1187,0.046795517,6406470.5,7234.644531,0.949999988,2.54194364073509,0.00218982041129729
1,98,1161,0,1187,0.046747945,6378960.5,7362.091309,0.949999988,2.53721498996043,0.00218537036172303
1,99,1160.800049,59.8741951,1187,0.046734191,6387785.5,7888.148438,0.946666658,2.53528552047928,0.00218408460842448
1,100,1160.599976,119.7483902,1187,0.046720438,6396611,8414.206055,0.943333328,2.5333568464267,0.00218279932691184
1,101,1160.400024,179.6225891,1187,0.046706684,6405436.5,8940.263672,0.939999998,2.53142928120845,0.00218151433027586
1,102,1160.199951,239.4967804,1187,0.046692934,6414261.5,9466.320313,0.936666667,2.52950283839872,0.00218023008552836
1,103,1160,299.3709717,1187,0.04667918,6423087,9992.37793,0.933333337,2.52757718074798,0.0021789458454724
1,104,1160,239.4967804,1187,0.046707064,6373941,8894.166016,0.933333337,2.53059779990011,0.0021815498275001
1,105,1160,179.6225891,1187,0.046734948,6324795.5,7795.953125,0.933333337,2.53362022289274,0.0021841553645627
1,106,1160,119.7483902,1187,0.046762839,6275649.5,6697.740723,0.933333337,2.53664520915431,0.00218676311133992
1,107,1160,59.8741951,1187,0.046790723,6226504,5599.52832,0.933333337,2.53967124028077,0.00218937175886273
1,108,1160,0,1187,0.046818607,6177358,4501.31543,0.933333337,2.54269907524772,0.00219198196142045
1,109,1160,19.05087662,1187,0.046809018,6219595,5038.219727,0.943333328,2.54165763270422,0.00219108416612432
1,110,1160,38.10175323,1187,0.046799425,6261832.5,5575.123535,0.953333318,2.54061596918352,0.00219018618033062
1,111,1160,57.15263748,1187,0.04678984,6304070,6112.027344,0.963333309,2.5395753875817,0.0021892891272256
1,112,1160,76.20350647,1187,0.046780247,6346307,6648.931641,0.973333359,2.53853415088197,0.00218839150938101
1,113,1160,95.25439453,1187,0.046770658,6388544.5,7185.835449,0.983333349,2.53749356171344,0.00218749444975296
1,114,1160,98.88313293,1187,0.046781637,6378230,7776.97168,0.976666629,2.53868501006373,0.00218852156039977
1,115,1160,102.5118713,1187,0.046792615,6367915,8368.108398,0.970000029,2.53987662950434,0.00218954881853823
1,116,1160,106.1406097,1187,0.04680359,6357600.5,8959.245117,0.963333309,2.5410682027902,0.0021905760368881
1,117,1160,109.7693481,1187,0.046814568,6347285.5,9550.381836,0.956666708,2.54226038135088,0.00219160377702662
1,118,1160,113.3980865,1187,0.046825547,6336971,10141.51855,0.949999988,2.54345294814508,0.00219263185184921
1,119,1160,292.1134949,1187,0.046824787,6316673,9515.130859,0.943333328,2.54337038601063,0.00219256067759537
1,120,1160,470.8288879,1187,0.046824031,6296375,8888.743164,0.936666667,2.54328825974319,0.00219248987908896
1,121,1160,649.5442505,1187,0.046823274,6276076.5,8262.354492,0.930000007,2.54320602617173,0.00219241898807908
1,122,1160,828.2596436,1187,0.046822518,6255779,7635.966797,0.923333347,2.54312390255798,0.00219234819186032
1,123,1160,1006.975037,1187,0.046821762,6235480.5,7009.579102,0.916666687,2.54304178027019,0.00219227739678464
1,124,1160,829.1668091,1187,0.046808135,6237287,6822.476074,0.923333347,2.54156174252674,0.00219100150217822
1,125,1160,651.3586426,1187,0.046794508,6239093.5,6635.373047,0.930000007,2.54008213559599,0.00218972597896206
1,126,1160,473.5504456,1187,0.046780881,6240900,6448.27002,0.936666667,2.53860295947795,0.00218845082713616
1,127,1160,295.742218,1187,0.046767253,6242706,6261.16748,0.943333328,2.53712410567257,0.00218717595316601
1,128,1160,117.9340134,1187,0.046753626,6244512.5,6074.064453,0.949999988,2.53564579121154,0.00218590154414788
1,129,1160,94.34720612,1187,0.046744034,6295024,6388.614258,0.953333318,2.53460546892806,0.00218500471459316
1,130,1160,70.76040649,1187,0.046734445,6345534.5,6703.163574,0.956666708,2.53356568537131,0.00218410834945803
1,131,1160,47.17360306,1187,0.046724856,6396046,7017.713867,0.959999979,2.53252611513605,0.00218321216822074
1,132,1160,23.58680153,1187,0.046715267,6446556.5,7332.263672,0.963333309,2.53148675822229,0.00218231617088129
1,133,1160,0,1187,0.046705678,6497068,7646.812988,0.966666639,2.53044761463003,0.00218142035743968
1,134,1160,157.8501434,1187,0.046699747,6480437.5,8468.438477,0.956666708,2.52980498904225,0.00218086636986401
1,135,1160,315.7002869,1187,0.046693817,6463807.5,9290.064453,0.946666658,2.52916255339421,0.00218031254602949
1,136,1160,473.5504456,1187,0.046687886,6447177,10111.69043,0.936666667,2.52852009101283,0.002179758699149
1,137,1160,631.4005737,1187,0.046681955,6430547.5,10933.31641,0.926666617,2.52787771024155,0.00217920492262202
1,138,1160,789.2507324,1187,0.046676025,6413917,11754.94141,0.916666687,2.52723551936873,0.00217865130980063
1,139,1160,672.223938,1187,0.046667319,6449893.5,10713.67383,0.920000017,2.5262928486714,0.00217783866264776
1,140,1160,555.1970825,1187,0.046658609,6485870.5,9672.405273,0.923333347,2.52534992082526,0.00217702579381488
1,141,1160,438.1702271,1187,0.046649907,6521847,8631.137695,0.926666617,2.52440803480603,0.00217621382310865
1,142,1160,321.1434021,1187,0.046641197,6557824,7589.869141,0.930000007,2.52346545880766,0.00217540125759281
1,143,1160,204.1165619,1187,0.046632491,6593801,6548.600586,0.933333337,2.52252349156349,0.00217458921686508
1,144,1160,203.2093811,1187,0.046612173,6568869.5,6765.53125,0.933333337,2.52032581926704,0.00217269467178193
1,145,1160,202.3022003,1187,0.046591863,6543938,6982.462402,0.933333337,2.51812996946049,0.00217080169781077
1,146,1160,201.3950043,1187,0.046571545,6519007,7199.393066,0.933333337,2.51593421227695,0.00216890880368702
1,147,1160,200.4878235,1187,0.046551231,6494075,7416.324707,0.933333337,2.51373984483382,0.00216701710761536
